TSI NO,MAINTAINED BY,PRIMARY STREET NAME,SECONDARY STREET NAME,SIGNAL TYPE,PEDESTRIAN SIGNAL,GEOLOCATION
S-384,STATE,HIGHLAND RD,I-10,SIGNAL,NO,POINT (-91.028627587162 30.346894162281)
S-203,CITY-PARISH,ESSEN LN,I-10,SIGNAL,NO,POINT (-91.102051607966 30.407829300722)
S-024,CITY-PARISH,GREENWELL SPRINGS RD,MONTERREY DR,SIGNAL,NO,POINT (-91.083779197965 30.485148447438)
C-104,CITY-PARISH,MAIN ST,4TH ST,SIGNAL,YES,POINT (-91.187162712495 30.451460325766)
S-193,CITY-PARISH,HARDING BLVD,I-110 / VETERAN'S MEMORIAL BLVD,SIGNAL,NO,POINT (-91.160832037077 30.521352320588)
S-081,CITY-PARISH,PERKINS RD,SIEGEN LN,SIGNAL,NO,POINT (-91.07448490455 30.368234778118)
S-094,CITY-PARISH,NORTH ST,22ND ST,SIGNAL,NO,POINT (-91.166096133258 30.453152369443)
C-108,CITY-PARISH,MAIN ST,19TH ST,SIGNAL,NO,POINT (-91.169406120244 30.4519824345)
C-085,CITY-PARISH,HIGHLAND RD,STARING LN,SIGNAL,YES,POINT (-91.122979233891 30.368934876161)
C-092,CITY-PARISH,JOOR RD,CORE LN,SIGNAL,NO,POINT (-91.047618295174 30.576179808014)
C-219,CITY-PARISH,BLUEBONNET BLVD,OLIPHANT RD,SIGNAL,YES,POINT (-91.081373652794 30.404821100189)
C-209,CITY-PARISH,LEE DR,BOONE DR,SIGNAL,NO,POINT (-91.155674994081 30.398370239853)
C-206,CITY-PARISH,SHARP LN,W TAMS DR,BEACON,NO,POINT (-91.072215894969 30.467337745493)
S-049,CITY-PARISH,SCENIC HWY,72ND AVE / MENGEL RD,SIGNAL,YES,POINT (-91.175327454068 30.513997946689)
S-105,CITY-PARISH,PLANK RD,SAINT GERARD AVE,SIGNAL,YES,POINT (-91.153916663244 30.497300568084)
C-075,CITY-PARISH,HIGHLAND RD,DALRYMPLE DR,SIGNAL,YES,POINT (-91.176394297233 30.415832087391)
S-126,CITY-PARISH,CHIPPEWA ST,SORREL AVE,SIGNAL,NO,POINT (-91.181094156861 30.472705839342)
C-129,CITY-PARISH,NORTH ST,LAFAYETTE ST,SIGNAL,YES,POINT (-91.189591136399 30.452451298394)
S-194,CITY-PARISH,SCENIC HWY,MILLS AVE,SIGNAL,NO,POINT (-91.186481135934 30.532935785094)
C-229,CITY-PARISH,COURSEY BLVD,MARKET ST,SIGNAL,NO,POINT (-91.019239139407 30.408211395696)
C-138,CITY-PARISH,SHARP RD,MOLLYLEA DR,SIGNAL,NO,POINT (-91.071543741669 30.452599261498)
S-033,CITY-PARISH,WYANDOTTE ST,I-110,BEACON,NO,POINT (-91.166415826713 30.481734261323)
S-348,CITY-PARISH,OLD HAMMOND HWY,ELWICK DR,BEACON,NO,POINT (-91.040120062267 30.442115929193)
,STATE,JEFFERSON HWY,AIRLINE HWY SERVICE RD,SIGNAL,NO,POINT (-91.065650166062 30.40811985111)
C-033,CITY-PARISH,CONVENTION ST,11TH ST,BEACON,NO,POINT (-91.178633763493 30.448546735831)
S-268,CITY-PARISH,GREENWELL SPRINGS RD,PLATT DR,SIGNAL,NO,POINT (-91.076176057042 30.488598771024)
C-131,CITY-PARISH,NORTH ST,TURNER PLAZA,SIGNAL,YES,POINT (-91.142755619265 30.453834073373)
S-166,CITY-PARISH,FLORIDA ST,EUGENE ST,SIGNAL,NO,POINT (-91.160933084443 30.450129529841)
S-217,CITY-PARISH,AIRLINE HWY,DAWNADELE AVE,SIGNAL,NO,POINT (-91.071911055885 30.41921544767)
C-192,CITY-PARISH,MONTERREY DR,MAMMOTH AVE,SIGNAL,NO,POINT (-91.083779784176 30.473955445865)
C-278,CITY-PARISH,GOVERNMENT ST,21ST ST / CAMELIA AVE,SIGNAL,YES,POINT (-91.16684405168 30.443865773651)
C-123,CITY-PARISH,NORTH ST,5TH ST,SIGNAL,YES,POINT (-91.185954200189 30.45256279059)
C-199,CITY-PARISH,SOUTH BLVD,EAST BLVD,SIGNAL,NO,POINT (-91.180152978151 30.439747100807)
S-134,CITY-PARISH,MAIN ST,9TH ST,SIGNAL,NO,POINT (-91.18100288114 30.45164683973)
S-228,CITY-PARISH,NICHOLSON DR,ROOSEVELT ST,SIGNAL,YES,POINT (-91.187620080722 30.421593717411)
C-271,CITY-PARISH,GOVERNMENT ST,SAINT PHILLIP ST,SIGNAL,YES,POINT (-91.188481943528 30.443300445883)
S-034,CITY-PARISH,GOVERNMENT ST,I-110,SIGNAL,NO,POINT (-91.178810639612 30.443514373543)
S-130,CITY-PARISH,AIRLINE HWY,OLD HAMMOND HWY,SIGNAL,NO,POINT (-91.080629315729 30.431669044704)
C-224,CITY-PARISH,GROOM RD,WALMART,SIGNAL,NO,POINT (-91.128582054357 30.58106124826)
S-112,CITY-PARISH,SCENIC HWY,SCOTLAND AVE,SIGNAL,NO,POINT (-91.180997341112 30.523705389729)
C-239,CITY-PARISH,GREENWELL SPRINGS RD,CAPITOL MIDDLE,SIGNAL,YES,POINT (-91.137178734979 30.463646727175)
S-222,CITY-PARISH,LA 19,I-110,SIGNAL,NO,POINT (-91.178373896657 30.535599638046)
S-135,CITY-PARISH,MAIN ST,10TH ST,SIGNAL,NO,POINT (-91.179887350206 30.451676045872)
C-205,CITY-PARISH,JOOR RD,DENHAM RD,SIGNAL,NO,POINT (-91.046242489785 30.582388620539)
C-127,CITY-PARISH,NORTH ST,39TH ST,SIGNAL,YES,POINT (-91.151021261075 30.453574521571)
S-073,CITY-PARISH,GOVERNMENT ST,FOSTER DR,SIGNAL,YES,POINT (-91.138527210731 30.444542902286)
S-107,CITY-PARISH,PLANK RD,JH COONEY DR,SIGNAL,NO,POINT (-91.151766927658 30.503502540486)
S-104,CITY-PARISH,PLANK RD,LORRAINE ST,SIGNAL,NO,POINT (-91.154137783364 30.496696233503)
S-252,CITY-PARISH,ESSEN LN,PICARDY AVE,SIGNAL,NO,POINT (-91.107449328604 30.398561286225)
C-202,CITY-PARISH,CHOCTAW DR,OAK VILLA BLVD,SIGNAL,NO,POINT (-91.089047385408 30.471610054431)
S-177,CITY-PARISH,SCENIC HWY,BLOUNT RD,SIGNAL,NO,POINT (-91.190832879422 30.540616602269)
S-071,CITY-PARISH,ACADIAN THWY,GOVERNMENT ST,SIGNAL,YES,POINT (-91.154297541994 30.44416777303)
C-198,CITY-PARISH,HARRELL'S FERRY RD,MILLERVILLE RD,SIGNAL,YES,POINT (-91.02443161892 30.429896445159)
S-052,CITY-PARISH,AIRLINE HWY,GREENWELL ST,SIGNAL,NO,POINT (-91.131351292337 30.502381496547)
S-025,CITY-PARISH,OLD HAMMOND HWY,CEDARCREST AVE / SHARP RD,SIGNAL,YES,POINT (-91.066214069943 30.434529833169)
C-083,CITY-PARISH,HIGHLAND RD,SOUTH BLVD / SAINT FERDINAND ST,SIGNAL,YES,POINT (-91.1863851948 30.43958284595)
C-204,CITY-PARISH,HARRELL'S FERRY RD,JONES CREEK RD,SIGNAL,NO,POINT (-91.01426934626 30.426909282876)
S-055,CITY-PARISH,AIRLINE HWY,WINBOURNE AVE / MARIBEL DR,SIGNAL,NO,POINT (-91.115219752178 30.480129711696)
S-148,CITY-PARISH,PLANK RD,HARDING BLVD,SIGNAL,NO,POINT (-91.145434615157 30.521679773398)
S-069,CITY-PARISH,GOVERNMENT ST,EUGENE ST,SIGNAL,YES,POINT (-91.160016686139 30.444032722312)
C-207,CITY-PARISH,JONES CREEK RD,FERRELL AVE,SIGNAL,YES,POINT (-91.016730201261 30.402692742745)
S-307,STATE,HIGHLAND RD,PERKINS RD E,SIGNAL,NO,POINT (-91.027573656804 30.347940243667)
C-213,CITY-PARISH,FOSTER DR,NORTH BLVD,SIGNAL,YES,POINT (-91.138944112166 30.448695193896)
S-103,CITY-PARISH,PLANK RD,EVANGELINE ST,SIGNAL,NO,POINT (-91.155575602187 30.492699400055)
S-260,CITY-PARISH,GOVERNMENT ST,COMMUNITY COLLEGE DR,SIGNAL,YES,POINT (-91.135799528036 30.44459980625)
S-003,STATE,MAIN ST,LANE MEM HOSPITAL,BEACON,NO,POINT (-91.136545697741 30.650027514032)
C-253,CITY-PARISH,CENTRAL THWY,FRENCHTOWN RD,SIGNAL,NO,POINT (-91.022005960266 30.50077700279)
C-142,CITY-PARISH,SHERWOOD FOREST BLVD,NEWCASTLE AVE,SIGNAL,NO,POINT (-91.05150207712 30.420288528354)
S-167,CITY-PARISH,FLORIDA ST,22ND ST,SIGNAL,NO,POINT (-91.165939425932 30.44998375406)
S-113,CITY-PARISH,NORTH ST,9TH ST,SIGNAL,YES,POINT (-91.181151481344 30.45269709622)
C-292,CITY-PARISH,OLD HAMMOND HWY,DRUSILLA LN,SIGNAL,NO,POINT (-91.084023566735 30.431045425772)
S-204,CITY-PARISH,HIGHLAND RD,GARDERE LN,SIGNAL,NO,POINT (-91.119378978875 30.366161429487)
S-092,CITY-PARISH,NORTH BLVD,22ND ST,SIGNAL,YES,POINT (-91.165932567631 30.447860828047)
C-136,CITY-PARISH,PERKINS RD,TERRACE ST,BEACON,NO,POINT (-91.167677069421 30.436661645035)
C-151,CITY-PARISH,THOMAS DELPIT DR,LOUISE ST,SIGNAL,NO,POINT (-91.178779610282 30.434247766764)
S-108,CITY-PARISH,PLANK RD,DAWSON DR / MASON AVE,SIGNAL,NO,POINT (-91.150605711683 30.506793822044)
S-074,CITY-PARISH,GOVERNMENT ST,JEFFERSON HWY,SIGNAL,YES,POINT (-91.130667033116 30.444698636792)
C-236,CITY-PARISH,GOVERNMENT ST,SAINT JAMES ST,SIGNAL,YES,POINT (-91.189470387587 30.443267141135)
C-089,CITY-PARISH,HIGHLAND RD,WASHINGTON ST,SIGNAL,YES,POINT (-91.182697483881 30.430954228304)
S-244,CITY-PARISH,OLD HAMMOND HWY,MILLERVILLE RD,SIGNAL,YES,POINT (-91.024557046217 30.45169437217)
S-154,CITY-PARISH,WASHINGTON ST,I-10,SIGNAL,NO,POINT (-91.174649070241 30.431267306044)
C-077,CITY-PARISH,HIGHLAND RD,LEE DR,SIGNAL,NO,POINT (-91.159749611869 30.393854868669)
C-177,CITY-PARISH,COURSEY BLVD,HICKORY RIDGE BLVD,SIGNAL,NO,POINT (-91.025981876852 30.408079556771)
C-243,CITY-PARISH,GOODWOOD AVE,AUDUBON,BEACON,NO,POINT (-91.12021933435 30.441904443022)
S-175,CITY-PARISH,AIRLINE HWY,PRESCOTT RD,SIGNAL,NO,POINT (-91.121394089376 30.488462966092)
S-165,CITY-PARISH,FLORIDA BLVD,FOSTER DR,SIGNAL,NO,POINT (-91.139028564513 30.450734729269)
C-231,CITY-PARISH,CORPORATE BLVD,TOWNE CENTER BLVD,SIGNAL,YES,POINT (-91.113511843894 30.430716729233)
C-073,CITY-PARISH,HIGHLAND RD,S CAMPUS DR,SIGNAL,YES,POINT (-91.176163769608 30.411532432277)
S-044,CITY-PARISH,SCENIC HWY,HOLLYWOOD ST,SIGNAL,NO,POINT (-91.169915300507 30.499177312362)
S-356,STATE,WAX RD,E BROOKSIDE DR,SIGNAL,NO,POINT (-91.01961273448 30.543071080407)
C-107,CITY-PARISH,MAIN ST,7TH ST,SIGNAL,YES,POINT (-91.183544175819 30.45157308725)
S-010,CITY-PARISH,PLANK RD,LAVEY LN,SIGNAL,NO,POINT (-91.128139061581 30.575676162672)
C-015,CITY-PARISH,CAPITOL LAKE DR,3RD ST,BEACON,NO,POINT (-91.188426189571 30.458053413876)
C-248,CITY-PARISH,CHOCTAW DR,CENTRAL THWY,SIGNAL,NO,POINT (-91.010842706018 30.470667701066)
S-131,CITY-PARISH,AIRLINE HWY,GOODWOOD BLVD,SIGNAL,NO,POINT (-91.088986541196 30.443078588444)
S-124,CITY-PARISH,FLORIDA ST,LAFAYETTE ST,SIGNAL,YES,POINT (-91.189459107824 30.449273584542)
S-158,CITY-PARISH,DALRYMPLE DR,I-10 / LAKESHORE DR,SIGNAL,NO,POINT (-91.168799421829 30.429191574276)
C-279,CITY-PARISH,GOVERNMENT ST,22ND ST,SIGNAL,YES,POINT (-91.165741103113 30.443894039149)
S-090,CITY-PARISH,FLORIDA BLVD,SHARP RD,SIGNAL,NO,POINT (-91.072100265081 30.456544788079)
S-157,CITY-PARISH,DALRYMPLE DR,I-10,SIGNAL,NO,POINT (-91.168675058201 30.426827666375)
S-254,CITY-PARISH,O'NEAL LN,I-12,SIGNAL,NO,POINT (-91.007472643404 30.442553958207)
S-096,CITY-PARISH,PLANK RD,FAIRFIELDS AVE / PAWNEE ST,SIGNAL,NO,POINT (-91.164704132543 30.466751521638)
S-208,CITY-PARISH,GREENWELL SPRINGS RD,JOYCE DR,SIGNAL,NO,POINT (-91.096185317223 30.481887871119)
C-286,CITY-PARISH,FLORIDA ST,5TH ST,SIGNAL,YES,POINT (-91.185868083324 30.449385133302)
S-038,CITY-PARISH,CHOCTAW DR,CHIPPEWA ST / 3RD ST,SIGNAL,NO,POINT (-91.18838486492 30.469196362136)
C-216,CITY-PARISH,GREENWELL SPRINGS RD,LOBDELL BLVD,SIGNAL,NO,POINT (-91.123153720059 30.471555275452)
S-176,CITY-PARISH,NICHOLSON DR,NICHOLSON DR EXT,SIGNAL,NO,POINT (-91.185999074076 30.408352128586)
C-246,CITY-PARISH,BRIGHTSIDE DR,ALVIN DARK AVE,SIGNAL,YES,POINT (-91.182060714024 30.388288646696)
S-187,CITY-PARISH,FLORIDA BLVD,OAK VILLA BLVD,SIGNAL,NO,POINT (-91.087210191977 30.454315629169)
C-270A,CITY-PARISH,NICHOLSON DR,SOUTH BLVD,SIGNAL,YES,POINT (-91.187370887005 30.439727583153)
S-243,CITY-PARISH,GARDERE LN,INNOVATION PARK DR / GSRI AVE,SIGNAL,NO,POINT (-91.12704642364 30.35531158485)
C-141,CITY-PARISH,SHERWOOD FOREST BLVD,LAKE SHERWOOD AVE N,SIGNAL,NO,POINT (-91.051485639674 30.417471436323)
S-106,CITY-PARISH,PLANK RD,HOLLYWOOD ST,SIGNAL,NO,POINT (-91.153171241208 30.499471885794)
C-215,CITY-PARISH,GREENWELL SPRINGS RD,CHOCTAW DR,SIGNAL,NO,POINT (-91.123912739061 30.471086349144)
S-054,CITY-PARISH,AIRLINE HWY,EVANGELINE ST,SIGNAL,NO,POINT (-91.12498429991 30.493522286175)
S-248,CITY-PARISH,AIRLINE HWY,COURSEY BLVD / BLUEBONNET BLVD,SIGNAL,NO,POINT (-91.069934981973 30.416391682449)
S-231,CITY-PARISH,BURBANK DR,LEE DR,SIGNAL,NO,POINT (-91.162020121211 30.391697885081)
S-164,CITY-PARISH,FLORIDA BLVD,ARDENWOOD AVE,SIGNAL,NO,POINT (-91.127436534682 30.451119442676)
S-009,CITY-PARISH,PLANK RD,GROOM RD,SIGNAL,NO,POINT (-91.126677514524 30.580212098402)
S-109,CITY-PARISH,PLANK RD,SUMRALL DR,SIGNAL,NO,POINT (-91.148458116928 30.512937622549)
C-175,CITY-PARISH,HIGHLAND RD,KENILWORTH PKWY,SIGNAL,NO,POINT (-91.138124287943 30.377840078572)
S-050,CITY-PARISH,AIRLINE HWY,BEECHWOOD DR,SIGNAL,NO,POINT (-91.144409348758 30.509206028958)
C-164,CITY-PARISH,SULLIVAN RD,LOVETT RD,SIGNAL,NO,POINT (-91.027847812347 30.521604866878)
S-037,CITY-PARISH,NORTH ST,RIVER RD,SIGNAL,YES,POINT (-91.190443771604 30.452425093203)
S-121A,CITY-PARISH,NORTH BLVD,T.J. JEMISON BLVD,SIGNAL,NO,POINT (-91.18053808554 30.447293159984)
C-110,CITY-PARISH,MAIN ST,LAFAYETTE ST,SIGNAL,YES,POINT (-91.1895507125 30.451392093248)
C-237,CITY-PARISH,COURSEY BLVD,ROYAL ASCOT AVE / SOUTHPARK DR,SIGNAL,NO,POINT (-91.057929140446 30.414750601311)
S-051,CITY-PARISH,AIRLINE HWY,MC CLELLAND DR,SIGNAL,NO,POINT (-91.1354652017 30.506128468336)
C-146,CITY-PARISH,STANFORD AVE,HYACINTH ST / E LAKESHORE DR,SIGNAL,YES,POINT (-91.157720078191 30.414489879511)
C-233,CITY-PARISH,GREENWELL SPRINGS RD,PAULSON ST,SIGNAL,YES,POINT (-91.134349539268 30.465237855815)
S-091,CITY-PARISH,FLORIDA BLVD,SHERWOOD FOREST BLVD,SIGNAL,NO,POINT (-91.058166049734 30.458778146673)
S-078,CITY-PARISH,PERKINS RD,ACADIAN THWY / STANFORD AVE,SIGNAL,YES,POINT (-91.152878024217 30.421106191949)
C-225,CITY-PARISH,OAK VILLA BLVD,CROSSWAY AVE,SIGNAL,NO,POINT (-91.088768543221 30.460286952547)
C-137,CITY-PARISH,PRESCOTT RD,E BROOKSTOWN RD,SIGNAL,YES,POINT (-91.128227071796 30.488462854994)
C-113,CITY-PARISH,MICKENS RD,SILVERLEAF AVE,SIGNAL,NO,POINT (-91.121849378091 30.518985578499)
C-158,CITY-PARISH,WINBOURNE AVE,JUBAN AVE,BEACON,NO,POINT (-91.121683782014 30.479548745861)
S-251,CITY-PARISH,AIRLINE HWY,INDUSTRIPLEX BLVD / PECUE LN,SIGNAL,NO,POINT (-91.041772192948 30.385032080619)
C-091,CITY-PARISH,JONES CREEK RD,SHENANDOAH AVE,SIGNAL,YES,POINT (-91.017660008839 30.397179215535)
S-186,CITY-PARISH,FLORIDA BLVD,FLANNERY RD,SIGNAL,NO,POINT (-91.03528055587 30.462471040697)
S-233,CITY-PARISH,ACADIAN THWY,BROUSSARD ST,SIGNAL,NO,POINT (-91.152635723426 30.436111745888)
S-229,CITY-PARISH,FLORIDA BLVD,MC GEHEE DR / GREEN OAK DR,SIGNAL,NO,POINT (-91.06457420903 30.45775242457)
C-189,CITY-PARISH,CORTANA PL,AIRWAY DR,SIGNAL,NO,POINT (-91.095241296026 30.460638806082)
S-137,CITY-PARISH,NORTH ST,10TH ST,SIGNAL,NO,POINT (-91.180209202831 30.452721747657)
C-122,CITY-PARISH,NORTH ST,4TH ST,SIGNAL,YES,POINT (-91.187204688209 30.452524606648)
C-211,CITY-PARISH,FOSTER DR,GREENWELL SPRINGS RD / GUS YOUNG AVE,SIGNAL,YES,POINT (-91.139553701535 30.462345802113)
S-139,CITY-PARISH,FLORIDA ST,4TH ST,SIGNAL,YES,POINT (-91.18708042634 30.449340380567)
C-277,CITY-PARISH,GOVERNMENT ST,19TH ST / PARK BLVD,SIGNAL,YES,POINT (-91.169079105573 30.443808093908)
S-043,CITY-PARISH,SCENIC HWY,BEECH ST / REFINERY,SIGNAL,YES,POINT (-91.169678342567 30.494655892608)
S-345,CITY-PARISH,BLUEBONNET BLVD,TIMBERLAKE AVE,BEACON,NO,POINT (-91.100389618702 30.373516727707)
S-027,CITY-PARISH,ACADIAN THWY,I-10,SIGNAL,NO,POINT (-91.150840263955 30.424138888759)
S-029,CITY-PARISH,SHERWOOD FOREST BLVD,I-12,SIGNAL,NO,POINT (-91.056661487298 30.430029046523)
S-116,CITY-PARISH,SCENIC HWY,WINBOURNE AVE,SIGNAL,NO,POINT (-91.1686613928 30.477809252988)
S-232,CITY-PARISH,ACADIAN THWY,HUNDRED OAKS AVE,SIGNAL,YES,POINT (-91.152507922053 30.43231848857)
C-074,CITY-PARISH,HIGHLAND RD,CHIMES ST,SIGNAL,YES,POINT (-91.176449475463 30.417232575459)
S-095,CITY-PARISH,FUQUA ST,22ND ST,SIGNAL,YES,POINT (-91.166191330166 30.457391938009)
C-218,CITY-PARISH,SULLIVAN RD,WALMART,SIGNAL,NO,POINT (-91.028302481198 30.540936350457)
C-087,CITY-PARISH,HIGHLAND RD,SUNSET BLVD,BEACON,NO,POINT (-91.15259703911 30.388529621229)
C-210,CITY-PARISH,MILLERVILLE RD,AVALON AVE,SIGNAL,YES,POINT (-91.024514855157 30.446710751592)
C-160,CITY-PARISH,TOM DR,WOODDALE BLVD,SIGNAL,NO,POINT (-91.111911782124 30.463172720716)
S-030,CITY-PARISH,EVANGELINE ST,I-110,SIGNAL,NO,POINT (-91.163656191099 30.492124814411)
C-190,CITY-PARISH,SANTA MARIA PKWY,GOLF COURSE,SIGNAL,YES,POINT (-91.010056160719 30.339918976127)
S-119,CITY-PARISH,CAPITOL ACCESS RD,W HIGHWAY DR,SIGNAL,NO,POINT (-91.178546220867 30.458217416806)
S-093,CITY-PARISH,MAIN ST,22ND ST,SIGNAL,NO,POINT (-91.166033612361 30.452080676803)
C-076,CITY-PARISH,HIGHLAND RD,ASTER ST,SIGNAL,NO,POINT (-91.177327975155 30.419852456233)
S-256,CITY-PARISH,BLUEBONNET BLVD,I-10,SIGNAL,NO,POINT (-91.085831090233 30.395250508113)
S-223,CITY-PARISH,PERKINS RD,BLUEBONNET BLVD,SIGNAL,YES,POINT (-91.097977271862 30.379217676272)
C-124,CITY-PARISH,NORTH ST,6TH ST,SIGNAL,YES,POINT (-91.1847940265 30.452599657831)
S-172,CITY-PARISH,AIRLINE HWY,CEDARCREST AVE,SIGNAL,NO,POINT (-91.067953328284 30.413697181342)
C-203,CITY-PARISH,TOM  DR,AIRWAY DR,SIGNAL,NO,POINT (-91.098728610459 30.468130518822)
S-156,CITY-PARISH,NICHOLSON DR,MC KINLEY ST,SIGNAL,YES,POINT (-91.187684440086 30.423582449252)
S-159,CITY-PARISH,PERKINS RD,I-10,SIGNAL,NO,POINT (-91.155473070962 30.422402603208)
C-200,CITY-PARISH,PICARDY AVE,SUMMA AVE,SIGNAL,NO,POINT (-91.093051799314 30.392457341111)
C-095,CITY-PARISH,LAUREL ST,5TH ST,SIGNAL,YES,POINT (-91.185919591194 30.450442987744)
S-163,CITY-PARISH,FLORIDA BLVD,WOODDALE BLVD,SIGNAL,NO,POINT (-91.104091566085 30.451956835257)
S-146,CITY-PARISH,LA 19,ROSENWALD RD,SIGNAL,NO,POINT (-91.179167963724 30.531475696428)
C-148,CITY-PARISH,STARING LN,HYACINTH ST,SIGNAL,YES,POINT (-91.112463614534 30.385493153271)
C-082,CITY-PARISH,HIGHLAND RD,ROOSEVELT ST,SIGNAL,YES,POINT (-91.17823406124 30.421823325346)
C-244,CITY-PARISH,COURSEY BLVD,LAKE SHERWOOD AVE E,SIGNAL,NO,POINT (-91.041476841595 30.410870146279)
C-114,CITY-PARISH,MONTERREY DR,GREAT SMOKY AVE,SIGNAL,NO,POINT (-91.083678863073 30.476253287724)
C-098,CITY-PARISH,LAUREL ST,LAFAYETTE ST,SIGNAL,YES,POINT (-91.189503326779 30.450330155015)
C-102,CITY-PARISH,LOBDELL BLVD,HARRY DR,SIGNAL,NO,POINT (-91.112864510384 30.45770492517)
S-053,CITY-PARISH,AIRLINE HWY,MERRYDALE AVE,SIGNAL,NO,POINT (-91.128442817307 30.498570107434)
S-151,CITY-PARISH,CONVENTION ST,9TH ST,SIGNAL,YES,POINT (-91.181016619271 30.448486188266)
C-134,CITY-PARISH,PARK BLVD,TERRACE ST,SIGNAL,NO,POINT (-91.168765121159 30.43662688689)
C-169,CITY-PARISH,O'NEAL LN,GEORGE O'NEAL RD,SIGNAL,YES,POINT (-91.008634115406 30.407520779884)
C-120,CITY-PARISH,NORTH BLVD,PEACHTREE BLVD,SIGNAL,YES,POINT (-91.152357979929 30.448298379654)
C-196,CITY-PARISH,PICARDY AVE,DIJON DR,SIGNAL,NO,POINT (-91.112879288663 30.401073083361)
C-154,CITY-PARISH,THOMAS DELPIT DR,TERRACE ST,SIGNAL,NO,POINT (-91.180123434083 30.436323209617)
S-162,CITY-PARISH,JEFFERSON HWY,DRUSILLA LN,SIGNAL,NO,POINT (-91.089883016139 30.417225174323)
S-039,CITY-PARISH,CHIPPEWA ST,PHLOX AVE,SIGNAL,NO,POINT (-91.179252607336 30.472769361004)
S-206,CITY-PARISH,FLORIDA BLVD,DONMOOR AVE,SIGNAL,NO,POINT (-91.118394977384 30.451426210888)
C-272,CITY-PARISH,GOVERNMENT ST,SAINT LOUIS ST,SIGNAL,YES,POINT (-91.187499838434 30.44333783846)
C-162,CITY-PARISH,CHOCTAW DR,FLANNERY RD,SIGNAL,NO,POINT (-91.033978019972 30.472013824543)
S-180,CITY-PARISH,SCENIC HWY,FOSS ST,SIGNAL,NO,POINT (-91.167625973061 30.45993187291)
S-099,CITY-PARISH,PLANK RD,WINBOURNE AVE,SIGNAL,NO,POINT (-91.16066295971 30.478257842558)
C-079,CITY-PARISH,HIGHLAND RD,MC KINLEY ST,SIGNAL,YES,POINT (-91.179139377989 30.423797300217)
C-153,CITY-PARISH,THOMAS DELPIT DR,POLK ST,SIGNAL,NO,POINT (-91.176804959897 30.427034516824)
C-038,CITY-PARISH,COURSEY BLVD,CEDARCREST AVE,SIGNAL,NO,POINT (-91.067621422727 30.417517149055)
S-245,CITY-PARISH,FLORIDA BLVD,MONTERREY BLVD,SIGNAL,NO,POINT (-91.084520700256 30.45458949458)
C-208,CITY-PARISH,STANFORD AVE,W LAKESHORE DR / LSU AVE,SIGNAL,NO,POINT (-91.164973324043 30.406725982128)
S-210,CITY-PARISH,OLD HAMMOND HWY,FAIRWAY DR / TARA BLVD,SIGNAL,NO,POINT (-91.091349675302 30.430975437354)
S-026,CITY-PARISH,OLD HAMMOND HWY,SHERWOOD FOREST BLVD,SIGNAL,YES,POINT (-91.057346519349 30.436786817366)
C-197,CITY-PARISH,MAIN ST,SACRED HEART,SIGNAL,YES,POINT (-91.165448939355 30.452098341048)
C-161,CITY-PARISH,CHOCTAW DR,AIRWAY DR,SIGNAL,NO,POINT (-91.098876008802 30.471343277969)
S-031,CITY-PARISH,MOHICAN ST,I-110,SIGNAL,NO,POINT (-91.166320786805 30.484637976225)
S-185,CITY-PARISH,LA 19,BLOUNT RD,SIGNAL,NO,POINT (-91.176755239237 30.543426249532)
S-133,CITY-PARISH,SPANISH TOWN RD,9TH ST,SIGNAL,NO,POINT (-91.181144037544 30.454820344404)
S-257,CITY-PARISH,SIEGEN LN,I-10,SIGNAL,NO,POINT (-91.066017805876 30.382076023795)
C-117,CITY-PARISH,NORTH BLVD,19TH ST,SIGNAL,NO,POINT (-91.169233860304 30.447763639362)
S-110,STATE,PLANK RD,KLEINPETER RD / HALSEY ST,SIGNAL,NO,POINT (-91.135342685252 30.552249437964)
C-273,CITY-PARISH,GOVERNMENT ST,SAINT FERDINAND ST,SIGNAL,YES,POINT (-91.186538793712 30.443363801531)
C-201,CITY-PARISH,N MALL DR,COURTYARD MARRIOT,SIGNAL,NO,POINT (-91.065528821535 30.379203529121)
S-041,CITY-PARISH,SCENIC HWY,WINNEBAGO ST,BEACON,NO,POINT (-91.168975158962 30.482984432045)
