TSI NO,MAINTAINED BY,PRIMARY STREET NAME,SECONDARY STREET NAME,SIGNAL TYPE,PEDESTRIAN SIGNAL,GEOLOCATION
C-013,CITY-PARISH,ARDENWOOD DR,RENOIR AVE,SIGNAL,YES,POINT (-91.127777258477 30.460910333878)
C-014,CITY-PARISH,ARDENWOOD DR,WINBOURNE AVE,SIGNAL,YES,POINT (-91.130312864016 30.479239548541)
C-035,CITY-PARISH,CONVENTION ST,LAFAYETTE ST,SIGNAL,YES,POINT (-91.189414476907 30.448205934852)
C-042,CITY-PARISH,DALRYMPLE DR,STATE ST,SIGNAL,YES,POINT (-91.171422055568 30.419435218663)
C-001,CITY-PARISH,ACADIAN THWY E,CHOCTAW DR,SIGNAL,NO,POINT (-91.155480340207 30.470196211474)
C-026,CITY-PARISH,COLLEGE DR,CORPORATE BLVD,SIGNAL,NO,POINT (-91.137717673128 30.425948331059)
C-028,CITY-PARISH,COLLEGE DR,WEBB PARK,SIGNAL,YES,POINT (-91.133342778848 30.435617572077)
C-004,CITY-PARISH,ACADIAN THWY E,WASHINGTON AVE,SIGNAL,NO,POINT (-91.155274743579 30.465134290705)
C-057,CITY-PARISH,FOSTER DR,CLAYCUT RD,SIGNAL,YES,POINT (-91.138248949145 30.441352219271)
C-047,CITY-PARISH,EVANGELINE ST,MC CLELLAND DR,SIGNAL,NO,POINT (-91.134996476404 30.493306995882)
C-010,CITY-PARISH,ACADIAN THWY,WINBOURNE AVE,SIGNAL,NO,POINT (-91.156538246181 30.478372214235)
C-021,CITY-PARISH,CHOCTAW DR,SORREL AVE,SIGNAL,NO,POINT (-91.180953990216 30.469433104536)
C-062,CITY-PARISH,GOODWOOD BLVD,CHEVELLE AVE,SIGNAL,YES,POINT (-91.098549841845 30.442552137323)
C-063,CITY-PARISH,GOODWOOD BLVD,LOBDELL AVE,SIGNAL,YES,POINT (-91.110636021792 30.442217554135)
C-006,CITY-PARISH,ACADIAN THWY W,FAIRFIELDS AVE,SIGNAL,NO,POINT (-91.156335131168 30.467038794237)
C-066,CITY-PARISH,GOODWOOD BLVD,SHERWOOD FOREST BLVD,SIGNAL,YES,POINT (-91.058042865455 30.448583753709)
C-053,CITY-PARISH,FOSTER DR,FAIRFIELDS AVE,SIGNAL,YES,POINT (-91.139818032032 30.467752457998)
C-065,CITY-PARISH,GOODWOOD BLVD,TARA BLVD,SIGNAL,NO,POINT (-91.096112026044 30.442614945125)
C-027,CITY-PARISH,COLLEGE DR,FOSTER DR,SIGNAL,NO,POINT (-91.131964408526 30.436518312638)
C-070,CITY-PARISH,GUS YOUNG AVE,38TH ST,SIGNAL,NO,POINT (-91.152191890215 30.462658231516)
C-009,CITY-PARISH,ACADIAN THWY,NORTH ST,SIGNAL,NO,POINT (-91.154779160333 30.453488790787)
C-043,CITY-PARISH,MYRTLE ST,EDDIE ROBINSON DR,SIGNAL,NO,POINT (-91.175483283581 30.43839239066)
C-041,CITY-PARISH,DALRYMPLE DR,MAY ST,SIGNAL,NO,POINT (-91.169167619343 30.422623918109)
C-055,CITY-PARISH,FOSTER DR,PRESCOTT RD,SIGNAL,YES,POINT (-91.140399873374 30.487577936147)
C-011,CITY-PARISH,ACADIAN THWY,NORTH BLVD,SIGNAL,NO,POINT (-91.154688210928 30.44821589802)
